song name,artist,genre,year,song name (bengali),,,,,,,,,,
Chok chok gelo,Madhuri Chatterjee,nazrul,1970,??? ??? ????,,,,,,,,,,
Jay jhilmil jhilmil dheu tule,Lata Mangeshkar,nazrul,1970,??? ?????? ?????? ??? ????,,,,,,,,,,
Janam janam gelo,Adhir Bagchi,nazrul,1977,??? ??? ????,,,,,,,,,,
Tumi Akhon Dekhocho Shopon,Firoza Begum,nazrul,1985,???? ??? ????? ?????,,,,,,,,,,
Sunno a buke,Firoza Begum,nazrul,1985,?????? ? ????,,,,,,,,,,
Tumi sundor tai,Firoza Begum,nazrul,1987,???? ?????? ???,,,,,,,,,,
Poth hara pakhi,Firoza Begum,nazrul,1987,?? ???? ????,,,,,,,,,,
Poth Hara Pakhi,Indrani Sen,nazrul,1989,?? ???? ????,,,,,,,,,,
Projapoti projapoti,Firoza Begum,nazrul,1990,????????? ?????????,,,,,,,,,,
Mor ghumghore ele,Firoza Begum,nazrul,1991,??? ??????? ??,,,,,,,,,,
Bolo priotomo bolo,Firoza Begum,nazrul,1991,???? ???????? ????,,,,,,,,,,
Tumi sunte cheona,Firoza Begum,nazrul,1993,???? ????? ?????,,,,,,,,,,
Nishi bhor holo jagiya,Firoza Begum,nazrul,1993,???? ??? ???? ???????,,,,,,,,,,
Koto din dhekini tomai,Firoza Begum,nazrul,1999,???? ??? ?????? ?????,,,,,,,,,,
Mor prothom moner,Firoza Begum,nazrul,2002,??? ????? ????,,,,,,,,,,
Nohe nohe prio,Asha Bhosle,nazrul,2011,???? ???? ?????,,,,,,,,,,
Sukhono pater nupur,Indrani Sen,nazrul,2014,????? ??????? ?????,,,,,,,,,,
Jonom jonom tobo tore kadibo,Meher Afroz Shaon,nazrul,2014,??? ??? ???? ??????,,,,,,,,,,
Khelicho e bisho loye,Aditi Munshi,nazrul,2021,?????? ? ???? ????,,,,,,,,,,
Brojo gopi khele hori,Mohammad Rafi,nazrul,1981,????? ???? ??? ????,,,,,,,,,,
Anjali laho mor,Anuradha Paudwal,nazrul,1987,?????? ???? ???,,,,,,,,,,
Ami jar nupurer chhanda,Indrani Sen,nazrul,2003,??? ??? ??????? ????,,,,,,,,,,
Amare chokh isharay,Anup Ghoshal,nazrul,2020,????? ??? ???????,,,,,,,,,,
Alo nondher nondhon,Anup Jalota,nazrul,1985,?????? ??????? ??????,,,,,,,,,,
Aji mone mone lage hori,Anup Jalota,nazrul,2012,??? ??? ??? ???? ????,,,,,,,,,,
Alga korogo khopar badhon,Mohammad Rafi,nazrul,1981,???? ?????? ????? ?????,,,,,,,,,,
Aji nishithe abhishar,Shaheen Samad,nazrul,2017,??? ?????? ??????,,,,,,,,,,
A pothey jokhoni jaabe,Suprabha Sarkar,nazrul,2007,???? ???? ????? ????,,,,,,,,,,
Dur dipo basini,Asha Bhosle,nazrul,2014,??? ???? ??????,,,,,,,,,,
Priyo Jai Jai ,Anuradha Paudwal,nazrul,1988,?????? ??? ???,,,,,,,,,,
Khelichho e biswa loye  ,Dhiren Bose,nazrul,2020,?????? ? ????? ????,,,,,,,,,,
Elo Nandero Nandan  ,Aritra Dasgupta,nazrul,2021,??? ??????? ?????,,,,,,,,,,
Tawhider e Murshid  Naat E Rasul ,Mahtim Shakib,nazrul,2019,???????? ? ??????? ??? ? ?????,,,,,,,,,,
